title,pubDate,guid,link,description
Pride at 50: The LGBT revolution sparked in a basement,"Fri, 01 Jul 2022 00:19:55 GMT",https://www.bbc.co.uk/news/uk-61994277,https://www.bbc.co.uk/news/uk-61994277?at_medium=RSS&at_campaign=KARANGA,The ripple effects of the Gay Liberation Front's 1972 march are still being felt.
Quiz of the week: What's Venus Williams doing at Wimbledon?,"Thu, 30 Jun 2022 14:35:42 GMT",https://www.bbc.co.uk/news/world-61913155,https://www.bbc.co.uk/news/world-61913155?at_medium=RSS&at_campaign=KARANGA,How closely have you been paying attention to what's been going on over the past seven days?
Assam: 'I saw my husband die as flood water rose around us',"Thu, 30 Jun 2022 23:02:49 GMT",https://www.bbc.co.uk/news/world-asia-india-61996296,https://www.bbc.co.uk/news/world-asia-india-61996296?at_medium=RSS&at_campaign=KARANGA,Millions in India’s Assam state are struggling to piece together their lives after devastating floods.
Grown Up in Britain exhibition looks at the changing face of teenage kicks,"Fri, 01 Jul 2022 00:08:15 GMT",https://www.bbc.co.uk/news/entertainment-arts-61968340,https://www.bbc.co.uk/news/entertainment-arts-61968340?at_medium=RSS&at_campaign=KARANGA,A photo exhibition captures what's different and what's stayed the same in a century of teenage life.
Queen makes third public appearance in four days,"Thu, 30 Jun 2022 16:02:03 GMT",https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-62001091,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-62001091?at_medium=RSS&at_campaign=KARANGA,The monarch was joined by the Prince of Wales for a parade in the gardens of the Palace of Holyroodhouse.
Russia's elite 331st paras regiment fight for public support,"Thu, 30 Jun 2022 23:16:53 GMT",https://www.bbc.co.uk/news/world-europe-61966317,https://www.bbc.co.uk/news/world-europe-61966317?at_medium=RSS&at_campaign=KARANGA,"In the thick of the Donbas battle, the paras regiment is trapped in a conflict that is costing many lives."
Life inside the Dutch earthquake zone,"Thu, 30 Jun 2022 23:19:00 GMT",https://www.bbc.co.uk/news/world-europe-61901033,https://www.bbc.co.uk/news/world-europe-61901033?at_medium=RSS&at_campaign=KARANGA,Homes damaged by gas extraction are propped up with wooden beams while residents suffer health issues.
A Nato summit in Madrid for hawks,"Thu, 30 Jun 2022 20:52:26 GMT",https://www.bbc.co.uk/news/world-europe-62001165,https://www.bbc.co.uk/news/world-europe-62001165?at_medium=RSS&at_campaign=KARANGA,The BBC's Frank Gardner speaks to Nato leaders during the first summit since Russia invaded Ukraine.
Addiction: The faces of those fighting to break free and those helping,"Fri, 01 Jul 2022 00:23:16 GMT",https://www.bbc.co.uk/news/uk-england-leeds-61968290,https://www.bbc.co.uk/news/uk-england-leeds-61968290?at_medium=RSS&at_campaign=KARANGA,"The number of professional workers seeking help for addiction is on the increase, charities say."
End-of-life: How home nurses helped ease my husband's last days,"Thu, 30 Jun 2022 21:58:23 GMT",https://www.bbc.co.uk/news/uk-wales-61982575,https://www.bbc.co.uk/news/uk-wales-61982575?at_medium=RSS&at_campaign=KARANGA,"Since the pandemic more people are choosing to die at home, including campaigner Dame Deborah James."
The fight to save vanishing wildflower meadows,"Thu, 30 Jun 2022 21:58:02 GMT",https://www.bbc.co.uk/news/uk-scotland-scotland-business-61869167,https://www.bbc.co.uk/news/uk-scotland-scotland-business-61869167?at_medium=RSS&at_campaign=KARANGA,"Conservationists urge action to reverse a ""catastrophic"" decline in the nation's natural habitats."
Logan Mwangi: Juror traumatised by murder trial evidence,"Thu, 30 Jun 2022 15:35:31 GMT",https://www.bbc.co.uk/news/uk-wales-61270062,https://www.bbc.co.uk/news/uk-wales-61270062?at_medium=RSS&at_campaign=KARANGA,"Dr Joselyn Sellen says hearing what happened to Logan Mwangi left her ""completely traumatised""."
Diamond League: Dina Asher-Smith edges 200m win before world title defence,"Thu, 30 Jun 2022 21:07:43 GMT",https://www.bbc.co.uk/sport/athletics/62004253,https://www.bbc.co.uk/sport/athletics/62004253?at_medium=RSS&at_campaign=KARANGA,Great Britain's Dina Asher-Smith holds on to claim a morale-boosting 200m win in the Diamond League on Thursday.
Switzerland 0-4 England: Second-half show seals win in final Euro 2022 warm-up,"Thu, 30 Jun 2022 19:36:37 GMT",https://www.bbc.co.uk/sport/football/61980125,https://www.bbc.co.uk/sport/football/61980125?at_medium=RSS&at_campaign=KARANGA,England put four past Switzerland in Zurich in their final European Championship warm-up.
"Wimbledon: Katie Boulter, Liam Broady and Heather Watson win on good day for British players","Thu, 30 Jun 2022 20:59:13 GMT",https://www.bbc.co.uk/sport/tennis/61997315,https://www.bbc.co.uk/sport/tennis/61997315?at_medium=RSS&at_campaign=KARANGA,British wildcard Katie Boulter enthrals Wimbledon's Centre Court with a stunning fightback to beat 2021 runner-up Karolina Pliskova.
England v India: Ben Stokes says hosts will maintain aggressive approach,"Thu, 30 Jun 2022 14:43:39 GMT",https://www.bbc.co.uk/sport/cricket/61994867,https://www.bbc.co.uk/sport/cricket/61994867?at_medium=RSS&at_campaign=KARANGA,"England will try to ""operate in the same way"" in the delayed fifth Test against India despite trailing in the rearranged series, says Ben Stokes."
Wimbledon 2022: Watch Katie Boulter come from a set down to beat Karolina Pliskova.,"Thu, 30 Jun 2022 14:50:46 GMT",https://www.bbc.co.uk/sport/av/tennis/62000930,https://www.bbc.co.uk/sport/av/tennis/62000930?at_medium=RSS&at_campaign=KARANGA,Watch highlights as Britain's Katie Boulter comes from a set down to beat last year's finalist Karolina Pliskova at Wimbledon in a huge upset.
